t,x,u,y,v
1.702648521716811e+01,9.608255002413525e-01,7.860453377718799e-01,2.885120615980682e-02,-3.184618089802642e-01
1.702673887426844e+01,9.610250366388333e-01,7.872328860656815e-01,2.877018895614307e-02,-3.203343615321839e-01
1.702699083621164e+01,9.612235389572975e-01,7.884218574204339e-01,2.868924063321241e-02,-3.222127594420995e-01
1.702724111432623e+01,9.614210124597408e-01,7.896122281720617e-01,2.860836242003042e-02,-3.240970480377957e-01
1.702748882557731e+01,9.616167551723647e-01,7.907996705992275e-01,2.852784704800925e-02,-3.259804396376206e-01
1.702773443645643e+01,9.618111297061687e-01,7.919862676394834e-01,2.844755149190505e-02,-3.278662901838862e-01
1.702797840595028e+01,9.620044949090681e-01,7.931741336337716e-01,2.836733173346009e-02,-3.297580323918408e-01
1.702822030679896e+01,9.621965077825420e-01,7.943610850807783e-01,2.828733425299833e-02,-3.316522612975587e-01
1.702846059105600e+01,9.623875228094414e-01,7.955492365538398e-01,2.820741552057159e-02,-3.335524240315643e-01
1.702869883791542e+01,9.625772011552414e-01,7.967364036280650e-01,2.812772142134319e-02,-3.354550996341774e-01
1.702893549260234e+01,9.627658929882855e-01,7.979247008615097e-01,2.804810892490036e-02,-3.373637497615105e-01
1.702917014066718e+01,9.629532635906418e-01,7.991119431623056e-01,2.796872331341209e-02,-3.392749373236689e-01
1.702940322060978e+01,9.631396588660484e-01,8.003002448230419e-01,2.788942206681702e-02,-3.411921386069567e-01
1.702963432424097e+01,9.633247481663655e-01,8.014874203448231e-01,2.781034985676223e-02,-3.431119002622872e-01
1.702986346831810e+01,9.635085399747028e-01,8.026734268264575e-01,2.773150791487316e-02,-3.450342136141568e-01
1.703009108105544e+01,9.636913735843383e-01,8.038603757672724e-01,2.765275463371642e-02,-3.469625736648716e-01
1.703031676383841e+01,9.638729246618405e-01,8.050460835662923e-01,2.757423362297907e-02,-3.488935054378426e-01
1.703054093841295e+01,9.640535283607190e-01,8.062326607959150e-01,2.749580381188975e-02,-3.508305187223425e-01
1.703076321218570e+01,9.642328643002201e-01,8.074179241448145e-01,2.741760818122033e-02,-3.527701220618712e-01
1.703098400053200e+01,9.644112635417483e-01,8.086039830002042e-01,2.733950620632137e-02,-3.547158401150395e-01
1.703120291678872e+01,9.645884096124867e-01,8.097886546116623e-01,2.726164023253097e-02,-3.566641648383189e-01
1.703142037005682e+01,9.647646295287894e-01,8.109740469206749e-01,2.718387029042637e-02,-3.586186358359331e-01
1.703163597951385e+01,9.649396106815946e-01,8.121579780121779e-01,2.710633808365712e-02,-3.605757283762236e-01
1.703184976079371e+01,9.651133610917022e-01,8.133404042636571e-01,2.702904461290683e-02,-3.625354293180482e-01
1.703206211340132e+01,9.652862015059234e-01,8.145234290522839e-01,2.695185088326195e-02,-3.645012973460990e-01
1.703227304688432e+01,9.654581364502870e-01,8.157070222579004e-01,2.687475770886055e-02,-3.664733693398038e-01
1.703248219183826e+01,9.656288609137343e-01,8.168890045014461e-01,2.679790549084578e-02,-3.684480869745987e-01
1.703268956342827e+01,9.657983827239354e-01,8.180693318747884e-01,2.672129513859025e-02,-3.704254351325594e-01
1.703289554918116e+01,9.659670148189556e-01,8.192501032552599e-01,2.664478881848886e-02,-3.724090026762925e-01
1.703309978835735e+01,9.661344580472401e-01,8.204291439066468e-01,2.656852581264108e-02,-3.743952089168498e-01
1.703330266262993e+01,9.663010215089806e-01,8.216085500396253e-01,2.649236888036080e-02,-3.763876578460651e-01
1.703350381670840e+01,9.664664097217271e-01,8.227861490560210e-01,2.641645663622491e-02,-3.783827517906913e-01
1.703370362650057e+01,9.666309279916548e-01,8.239640342282766e-01,2.634065243978962e-02,-3.803841099115396e-01
1.703390210099010e+01,9.667945806134248e-01,8.251421732071947e-01,2.626495699059412e-02,-3.823917658918500e-01
1.703409889259181e+01,9.669570772661709e-01,8.263183951434225e-01,2.618950801911116e-02,-3.844020933598284e-01
1.703429436906105e+01,9.671187179162654e-01,8.274947902768741e-01,2.611416967529792e-02,-3.864187378624043e-01
1.703448818806302e+01,9.672792158122573e-01,8.286691906012160e-01,2.603907901083415e-02,-3.884380558156274e-01
1.703468071179803e+01,9.674388672311732e-01,8.298436827507524e-01,2.596410079223417e-02,-3.904637080874757e-01
1.703487194892218e+01,9.675976763331928e-01,8.310182329910683e-01,2.588923565578145e-02,-3.924957265019730e-01
1.703506156452493e+01,9.677553613889935e-01,8.321906761357721e-01,2.581461975162400e-02,-3.945304384200627e-01
1.703524991295150e+01,9.679122134823107e-01,8.333630947630429e-01,2.574011866120662e-02,-3.965715313315674e-01
1.703543700267024e+01,9.680682366961594e-01,8.345354543032755e-01,2.566573298566434e-02,-3.986190360032821e-01
1.703562250603391e+01,9.682231542430202e-01,8.357055930310134e-01,2.559159796440923e-02,-4.006692505053988e-01
1.703580643649341e+01,9.683769732431106e-01,8.368734661712131e-01,2.551771419846692e-02,-4.027221517230329e-01
1.703598913776977e+01,9.685299776459528e-01,8.380411474706079e-01,2.544394853634729e-02,-4.047814580860614e-01
1.703617061807748e+01,9.686821714315332e-01,8.392086013327045e-01,2.537030153417754e-02,-4.068471985087385e-01
1.703635055959295e+01,9.688332846088352e-01,8.403736743708280e-01,2.529690703818663e-02,-4.089156360445682e-01
1.703652929858289e+01,9.689835961332112e-01,8.415384347970216e-01,2.522363274285610e-02,-4.109905159257525e-01
1.703670652202455e+01,9.691328393547437e-01,8.427007338477714e-01,2.515061179306032e-02,-4.130680836394928e-01
1.703688288293382e+01,9.692815613584647e-01,8.438647653776550e-01,2.507757892456627e-02,-4.151559286054843e-01
1.703705774845882e+01,9.694292256597999e-01,8.450262634416892e-01,2.500479998019587e-02,-4.172464926737279e-01
1.703723144538046e+01,9.695761048481834e-01,8.461872891331189e-01,2.493214371968199e-02,-4.193435594545025e-01
1.703740366950609e+01,9.697219383635912e-01,8.473456998103929e-01,2.485974212127479e-02,-4.214433325963328e-01
1.703757474268049e+01,9.698669954184561e-01,8.485035507528985e-01,2.478746460291275e-02,-4.235496113188171e-01
1.703774467259531e+01,9.700112797793805e-01,8.496608039975659e-01,2.471531163203873e-02,-4.256624209345446e-01
1.703791316165499e+01,9.701545354919040e-01,8.508153233196157e-01,2.464341424118673e-02,-4.277779351951742e-01
1.703808052472440e+01,9.702970270123831e-01,8.519691565527341e-01,2.457164272663299e-02,-4.298999803965898e-01
1.703824676932838e+01,9.704387580396331e-01,8.531222649771738e-01,2.449999752920632e-02,-4.320285805635730e-01
1.703841160432539e+01,9.705794771517010e-01,8.542725194831864e-01,2.442860872924693e-02,-4.341598794325355e-01
1.703857533775175e+01,9.707194441254738e-01,8.554219598077044e-01,2.435734751091511e-02,-4.362977304224521e-01
1.703873797696910e+01,9.708586625935968e-01,8.565705464934276e-01,2.428621428978570e-02,-4.384421562272453e-01
1.703889952928990e+01,9.709971361682612e-01,8.577182397901585e-01,2.421520947367081e-02,-4.405931792665600e-01
1.703906000197773e+01,9.711348684413486e-01,8.588649996546436e-01,2.414433346275045e-02,-4.427508216813324e-01
1.703921911399934e+01,9.712716150882199e-01,8.600087077477734e-01,2.407371489516004e-02,-4.449111724361270e-01
1.703937716269619e+01,9.714076285564235e-01,8.611513912517442e-01,2.400322629991078e-02,-4.470781353069563e-01
1.703953415517433e+01,9.715429123741827e-01,8.622930094126692e-01,2.393286805402100e-02,-4.492517310344027e-01
1.703969009849234e+01,9.716774700500265e-01,8.634335211883184e-01,2.386264052740223e-02,-4.514319800594488e-01
1.703984471954917e+01,9.718110628955909e-01,8.645708190558082e-01,2.379267114672486e-02,-4.536149285218116e-01
1.703999830729376e+01,9.719439375412848e-01,8.657069181158027e-01,2.372283357884285e-02,-4.558045191755792e-01
