x,y,numerical,analytical
0.0196078,0.156863,0.625427,0.625426
0.0392157,0.156863,0.621866,0.621865
0.0588235,0.156863,0.615946,0.615945
0.0784314,0.156863,0.60769,0.607689
0.0980392,0.156863,0.597129,0.597127
0.117647,0.156863,0.584302,0.584301
0.137255,0.156863,0.569259,0.569258
0.156863,0.156863,0.552056,0.552055
0.176471,0.156863,0.53276,0.532758
0.196078,0.156863,0.511442,0.511441
0.215686,0.156863,0.488184,0.488183
0.235294,0.156863,0.463075,0.463074
0.254902,0.156863,0.436209,0.436208
0.27451,0.156863,0.407688,0.407687
0.294118,0.156863,0.37762,0.37762
0.313725,0.156863,0.346121,0.34612
0.333333,0.156863,0.313308,0.313307
0.352941,0.156863,0.279307,0.279306
0.372549,0.156863,0.244246,0.244245
0.392157,0.156863,0.208259,0.208258
0.411765,0.156863,0.171482,0.171481
0.431373,0.156863,0.134054,0.134054
0.45098,0.156863,0.0961176,0.0961174
0.470588,0.156863,0.0578168,0.0578167
0.490196,0.156863,0.0192967,0.0192966
0.509804,0.156863,-0.0192967,-0.0192966
0.529412,0.156863,-0.0578168,-0.0578167
0.54902,0.156863,-0.0961176,-0.0961174
0.568627,0.156863,-0.134054,-0.134054
0.588235,0.156863,-0.171482,-0.171481
0.607843,0.156863,-0.208259,-0.208258
0.627451,0.156863,-0.244246,-0.244245
0.647059,0.156863,-0.279307,-0.279306
0.666667,0.156863,-0.313308,-0.313307
0.686275,0.156863,-0.346121,-0.34612
0.705882,0.156863,-0.37762,-0.37762
0.72549,0.156863,-0.407688,-0.407687
0.745098,0.156863,-0.436209,-0.436208
0.764706,0.156863,-0.463075,-0.463074
0.784314,0.156863,-0.488184,-0.488183
0.803922,0.156863,-0.511442,-0.511441
0.823529,0.156863,-0.53276,-0.532758
0.843137,0.156863,-0.552056,-0.552055
0.862745,0.156863,-0.569259,-0.569258
0.882353,0.156863,-0.584302,-0.584301
0.901961,0.156863,-0.597129,-0.597127
0.921569,0.156863,-0.60769,-0.607689
0.941176,0.156863,-0.615946,-0.615945
0.960784,0.156863,-0.621866,-0.621865
0.980392,0.156863,-0.625427,-0.625426
0.0196078,0.176471,0.360379,0.360379
0.0392157,0.176471,0.358328,0.358327
0.0588235,0.176471,0.354916,0.354916
0.0784314,0.176471,0.350159,0.350158
0.0980392,0.176471,0.344073,0.344073
0.117647,0.176471,0.336682,0.336682
0.137255,0.176471,0.328014,0.328014
0.156863,0.176471,0.318102,0.318101
0.176471,0.176471,0.306983,0.306982
0.196078,0.176471,0.294699,0.294699
0.215686,0.176471,0.281298,0.281298
0.235294,0.176471,0.26683,0.266829
0.254902,0.176471,0.251349,0.251349
0.27451,0.176471,0.234915,0.234914
0.294118,0.176471,0.21759,0.217589
0.313725,0.176471,0.199439,0.199439
0.333333,0.176471,0.180532,0.180532
0.352941,0.176471,0.16094,0.16094
0.372549,0.176471,0.140738,0.140737
0.392157,0.176471,0.120001,0.120001
0.411765,0.176471,0.0988099,0.0988097
0.431373,0.176471,0.0772436,0.0772434
0.45098,0.176471,0.0553842,0.0553841
0.470588,0.176471,0.0333148,0.0333147
0.490196,0.176471,0.011119,0.011119
0.509804,0.176471,-0.011119,-0.011119
